,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_en,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,text_es,text_hi
26,en,1440853605116833796,803694179079458816, feartoxic720  VP Troll  Block ,1440999065131499523,False, feartoxic720  VP Troll  Block ,2021-09-23T11:18:44.000Z,USA,@feartoxic720 @VP Troll. Block.,[],[],"['feartoxic720', 'VP']",[],,
27,en,1440853605116833796,803694179079458816, carbonbaby  VP After Floyd twice refused   THEN he passed out in his car  in the driver s seat,1440998977579724802,False, carbonbaby  VP After Floyd twice refused   THEN he passed out in his car  in the driver s seat,2021-09-23T11:18:23.000Z,USA,"@carbonbaby @VP After Floyd twice refused.  THEN he passed out in his car, in the driver's seat",[],[],"['carbonbaby', 'VP']",[],,
28,en,1440779171593015296,803694179079458816, scubaemt  SuatZOR10  VP Please provide an accredited link that elains why these vaccines could have any adverse effects more than three months after injection  Otherwise you are full of  ,1441001340105281537,False, scubaemt  SuatZOR10  VP Please provide an accredited link that elains why these vaccines could have any adverse effects more than three months after injection  Otherwise you are full of  ,2021-09-23T11:27:46.000Z,USA,@scubaemt @SuatZOR10 @VP Please provide an accredited link that explains why these vaccines could have any adverse effects more than three months after injection. Otherwise you are full of 💩.,"['💩', 'xp']",[],"['scubaemt', 'SuatZOR10', 'VP']",['https://t.co/yJhEhBAtAM'],,
29,en,1440779171593015296,803694179079458816, zengelthomas  VP “Any business over 100 employees” what ,1441000743591415809,False, zengelthomas  VP “Any business over 100 employees” what ,2021-09-23T11:25:24.000Z,USA,@zengelthomas @VP “Any business over 100 employees” what?,[],[],"['zengelthomas', 'VP']",[],,
30,en,1440779171593015296,803694179079458816, MatthewElston8  VP Get some help  if you can afford it  for your obvious delusions ,1440999966181310470,False, MatthewElston8  VP Get some help  if you can afford it  for your obvious delusions ,2021-09-23T11:22:19.000Z,USA,"@MatthewElston8 @VP Get some help, if you can afford it, for your obvious delusions.",[],[],"['MatthewElston8', 'VP']",[],,
31,en,1440779171593015296,803694179079458816, VP Excellent Well Done Biden Administration  Respect  ,1440997052369055747,False, VP Excellent Well Done Biden Administration  Respect  ,2021-09-23T11:10:44.000Z,USA,@VP Excellent Well Done Biden Administration. Respect!!,[],[],['VP'],[],,
32,en,1440779171593015296,803694179079458816, VP The Border   Kamala Harris does not care about the Haitian or Latino communities period  She was placed by the Party to fill a role  like Biden  The Dems historically have done better  We really got screwed though ,1440996639452405760,False, VP The Border   Kamala Harris does not care about the Haitian or Latino communities period  She was placed by the Party to fill a role  like Biden  The Dems historically have done better  We really got screwed though ,2021-09-23T11:09:05.000Z,USA,@VP The Border?  Kamala Harris does not care about the Haitian or Latino communities period. She was placed by the Party to fill a role: like Biden. The Dems historically have done better. We really got screwed though.,[],[],['VP'],['https://t.co/arSpTNEczZ'],,
33,en,1440779171593015296,803694179079458816, VP  UnfuckAmerica  StopWithTheLies Wow vaccine has been proven you get sicker easier  give to other ppl  makes your body weaker  It doesn t do anything if you are or not vaccinated ,1440976062683488259,False, VP  UnfuckAmerica  StopWithTheLies Wow vaccine has been proven you get sicker easier  give to other ppl  makes your body weaker  It doesn t do anything if you are or not vaccinated ,2021-09-23T09:47:20.000Z,USA,"@VP #UnfuckAmerica #StopWithTheLies 
Wow vaccine has been proven you get sicker easier, give to other ppl, makes your body weaker. It doesn't do anything if you are or not vaccinated.",[],"['UnfuckAmerica', 'StopWithTheLies']",['VP'],['https://t.co/ZIItBGXigQ'],,
34,en,1440779171593015296,803694179079458816, VP When does the excess spending stop ,1440969169428746244,False, VP When does the excess spending stop ,2021-09-23T09:19:56.000Z,USA,@VP When does the excess spending stop?,[],[],['VP'],[],,
35,en,1440779171593015296,803694179079458816, VP The Taliban can be identified as a terrorist group  a crime syndicate  or a drug cartel  but it can never be recognized as the representative or legitimate government of Afg ,1440964061399711751,False, VP The Taliban can be identified as a terrorist group  a crime syndicate  or a drug cartel  but it can never be recognized as the representative or legitimate government of Afg ,2021-09-23T08:59:38.000Z,USA,"@VP The Taliban can be identified as a terrorist group, a crime syndicate, or a drug cartel, but it can never be recognized as the representative or legitimate government of Afg.",[],[],['VP'],['https://t.co/j1K0mwtPJC'],,
