,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_en,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,text_es
10,en,1440481472855494657,939091, JoeBiden This admin is forcing a vaccine or denying people’s livelihood  This is extremely disgusting  Freedom and opportunity is a joke unless you do what government wants  That’s not freedom   ,1440560421748961281,False, JoeBiden This admin is forcing a vaccine or denying people’s livelihood  This is extremely disgusting  Freedom and opportunity is a joke unless you do what government wants  That’s not freedom   ,2021-09-22T06:15:43.000Z,USA,@JoeBiden This admin is forcing a vaccine or denying people’s livelihood. This is extremely disgusting! Freedom and opportunity is a joke unless you do what government wants. That’s not freedom!!!,[],[],['JoeBiden'],['https://t.co/YgyJQxFIp0'],
11,en,1440481472855494657,939091, JoeBiden R FREEDOMS ARE BEING TAKEN AWAY BECAUSE OF SMALL GROUPS OR SO CALLED SHAMING WTF ,1440560155725217794,False, JoeBiden R FREEDOMS ARE BEING TAKEN AWAY BECAUSE OF SMALL GROUPS OR SO CALLED SHAMING WTF ,2021-09-22T06:14:40.000Z,USA,"@JoeBiden R FREEDOMS ARE BEING TAKEN AWAY BECAUSE OF SMALL GROUPS OR SO CALLED SHAMING,WTF,",[],[],['JoeBiden'],[],
12,en,1440481472855494657,939091, simon0845  kindopp linda  JoeBiden Yeah  and it wasn’t torture either  It was enhanced interrogation ,1440559938401497091,False, simon0845  kindopp linda  JoeBiden Yeah  and it wasn’t torture either  It was enhanced interrogation ,2021-09-22T06:13:48.000Z,USA,"@simon0845 @kindopp_linda @JoeBiden Yeah, and it wasn’t torture either. It was enhanced interrogation.",[],[],"['simon0845', 'kindopp_linda', 'JoeBiden']",[],
13,en,1440481472855494657,939091, JoeBiden Nonsense  You want to know what’s stamped into the DNA of this country  Whipping black men  that’s what  It’s still going on today  in your administration right now even  So shut your mouth hole about universal rights  you insufferable miscreant  https   t co liTBw59QGN,1440559476113756168,False, JoeBiden Nonsense  You want to know what’s stamped into the DNA of this country  Whipping black men  that’s what  It’s still going on today  in your administration right now even  So shut your mouth hole about universal rights  you insufferable miscreant  https   t co liTBw59QGN,2021-09-22T06:11:58.000Z,USA,"@JoeBiden Nonsense! You want to know what’s stamped into the DNA of this country? Whipping black men, that’s what. It’s still going on today; in your administration right now even. 

So shut your mouth hole about universal rights, you insufferable miscreant. https://t.co/liTBw59QGN",[],[],['JoeBiden'],['https://t.co/XT8LVH4CcP'],
14,en,1440481472855494657,939091, JoeBiden You should try telling that to your immigration agents ,1440558781847330830,False, JoeBiden You should try telling that to your immigration agents ,2021-09-22T06:09:12.000Z,USA,@JoeBiden You should try telling that to your immigration agents.,[],[],['JoeBiden'],[],
15,en,1440481472855494657,939091, JoeBiden U S  Government Delivery media cnn Fox News  Al J and Of other countries It will be slaughtered as they please  US Government from China Russia Turkey Ethiopia and EritreaDemocracy and order must be learned Whatever what All citizens together To stand for freedom It is ready  https   t co hvCTO8Agqp,1440558691074261000,False, JoeBiden U S  Government Delivery media cnn Fox News  Al J and Of other countries It will be slaughtered as they please  US Government from China Russia Turkey Ethiopia and EritreaDemocracy and order must be learned Whatever what All citizens together To stand for freedom It is ready  https   t co hvCTO8Agqp,2021-09-22T06:08:50.000Z,USA,"@JoeBiden U.S. Government Delivery media cnn Fox News, Al-J and Of other countries,It will be slaughtered as they please. US Government from China,Russia,Turkey,Ethiopia and Eritrea
Democracy and order must be learned.
Whatever what,All citizens together,To stand for freedom,It is ready. https://t.co/hvCTO8Agqp",[],[],['JoeBiden'],['https://t.co/iSawuLFcsV'],
16,en,1440481472855494657,939091, PikachuRetired  JoeBiden https   t co ig9PazXtf0Oh totally ,1440558551756275723,False, PikachuRetired  JoeBiden https   t co ig9PazXtf0Oh totally ,2021-09-22T06:08:17.000Z,USA,"@PikachuRetired @JoeBiden https://t.co/ig9PazXtf0
Oh totally 🙄",['🙄'],[],"['PikachuRetired', 'JoeBiden']",['https://t.co/ig9PazXtf0'],
17,en,1440481472855494657,939091, JoeBiden USA lose its  diplomacy s in the world b c of its double standard interference of country sovereignty  example Ethiopia,1440558023282343941,False, JoeBiden USA lose its  diplomacy s in the world b c of its double standard interference of country sovereignty  example Ethiopia,2021-09-22T06:06:11.000Z,USA,"@JoeBiden USA lose its  diplomacy's in the world b/c of its double standard interference of country sovereignty!!

example Ethiopia",[],[],['JoeBiden'],[],
18,en,1440481472855494657,939091, imohamed455  JoeBiden Eish     Your troubles will follow you the US Remember yhe grass looks greener due to the more shit there ,1440558010418434049,False, imohamed455  JoeBiden Eish     Your troubles will follow you the US Remember yhe grass looks greener due to the more shit there ,2021-09-22T06:06:08.000Z,USA,"@imohamed455 @JoeBiden Eish,!!! 

Your troubles will follow you the US.

Remember yhe grass looks greener due to the more shit there.",[],[],"['imohamed455', 'JoeBiden']",[],
19,en,1440481472855494657,939091, JoeBiden Just got my request for my information so I can start paying back student loans while the deadly pandemic is raging where I live  What are you going to do about the student loan crisis and the position it puts poor students in ,1440557926725283848,False, JoeBiden Just got my request for my information so I can start paying back student loans while the deadly pandemic is raging where I live  What are you going to do about the student loan crisis and the position it puts poor students in ,2021-09-22T06:05:48.000Z,USA,@JoeBiden Just got my request for my information so I can start paying back student loans while the deadly pandemic is raging where I live. What are you going to do about the student loan crisis and the position it puts poor students in?,[],[],['JoeBiden'],['https://t.co/HPsNsHn0jr'],
