,tweet_lang,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_en,tweet_date
2631,en,False,1440957845063839747,"@John_Muench @Read4Ks @DrEricDing I believe that The opposite is true- that Moderna is showing longer and stronger immunity than Pfizer- 94% at 6 months, while Pfizer dropped to the 70s.",[],[],"['John_Muench', 'Read4Ks', 'DrEricDing']",[],USA, John Muench  Read4Ks  DrEricDing I believe that The opposite is true  that Moderna is showing longer and stronger immunity than Pfizer  94  at 6 months  while Pfizer dropped to the 70s ,2021-09-23 09:00:00
2632,en,False,1440957825581297675,"Moderna vs. Pfizer: Both Knockouts, but One Seems to Have the Edge https://t.co/bT1TDlkoei",[],[],[],['https://t.co/bT1TDlkoei'],USA,Moderna vs  Pfizer  Both Knockouts  but One Seems to Have the Edge https   t co bT1TDlkoei,2021-09-23 09:00:00
2633,en,True,1440957790688792576,"While enjoying time on campus don't forget to grab a jab! 

Available today (Thurs) and tomorrow 10am-5pm outside @NewcastleSU, offering both 1st and 2nd doses of Pfizer vaccine.

For anyone over 16 &amp; 2nd doses available 8 weeks after first. No appointment necessary! @StudentsNCL https://t.co/WpXJrkonZq",[],[],"['NewcastleSU', 'StudentsNCL']",[],USA,While enjoying time on campus don t forget to grab a jab  Available today  Thurs  and tomorrow 10am 5pm outside  NewcastleSU  offering both 1st and 2nd doses of Pfizer vaccine For anyone over 16  amp  2nd doses available 8 weeks after first  No appointment necessary   StudentsNCL https   t co WpXJrkonZq,2021-09-23 09:00:00
2634,en,False,1440957785609441282,@Jackiemungai_ @pfizer Yeah but I would like to get paid for my awesome,[],[],"['Jackiemungai_', 'pfizer']",[],USA, Jackiemungai   pfizer Yeah but I would like to get paid for my awesome,2021-09-23 09:00:00
2635,en,False,1440957762129776644,"FDA Backs Pfizer COVID-19 Boosters For Seniors, High-Risk https://t.co/PaVo7c7mRI",[],[],[],['https://t.co/PaVo7c7mRI'],USA,FDA Backs Pfizer COVID 19 Boosters For Seniors  High Risk https   t co PaVo7c7mRI,2021-09-23 09:00:00
2636,en,False,1440957711852711936,"FDA Approves Pfizer Booster Shots for Senior Citizens, High-Risk Patients https://t.co/KLPDq0QhV1",[],[],[],['https://t.co/KLPDq0QhV1'],USA,FDA Approves Pfizer Booster Shots for Senior Citizens  High Risk Patients https   t co KLPDq0QhV1,2021-09-23 09:00:00
2637,en,False,1440957679417974789,"U.S. plan to share Pfizer shots globally 'too little and too late,' ex-C... https://t.co/e3AxdQBe1Z",[],[],[],['https://t.co/e3AxdQBe1Z'],USA,U S  plan to share Pfizer shots globally  too little and too late   ex C    https   t co e3AxdQBe1Z,2021-09-23 09:00:00
2638,en,False,1440957671922814982,"Wgt  Pfizer 

Moderna's vaccine appeared to be more protective than the Pfizer-BioNTech vaccine in the months after immunisation.

https://t.co/uWEAQ5gCGY",[],[],[],['https://t.co/uWEAQ5gCGY'],USA,Wgt  Pfizer Moderna s vaccine appeared to be more protective than the Pfizer BioNTech vaccine in the months after immunisation https   t co uWEAQ5gCGY,2021-09-23 09:00:00
2639,en,False,1440957614762782720,Macron is the new Pfizer phonecall for #ScottyTheBackStabber to make,[],['ScottyTheBackStabber'],[],[],USA,Macron is the new Pfizer phonecall for  ScottyTheBackStabber to make,2021-09-23 09:00:00
2640,en,False,1440957611763920904,"Coronavirus Update: Global tally of COVID-19 cases nears 230 million, as President Biden hosts virtual summit on the pandemic and doubles U.S. purchase of Pfizer vaccine https://t.co/jwyeIM3KKJ #ETF #tracker",[],"['ETF', 'tracker']",[],['https://t.co/jwyeIM3KKJ'],USA,Coronavirus Update  Global tally of COVID 19 cases nears 230 million  as President Biden hosts virtual summit on the pandemic and doubles U S  purchase of Pfizer vaccine https   t co jwyeIM3KKJ  ETF  tracker,2021-09-23 09:00:00
2641,en,False,1440957609838723075,"@simon_rosenberg @cheryl_kernot Macron speaks perfect English. He is just shitting himself picking up the phone , he’ll leave that to someone else . ( like ordering the Pfizer",[],[],"['simon_rosenberg', 'cheryl_kernot']",[],USA, simon rosenberg  cheryl kernot Macron speaks perfect English  He is just shitting himself picking up the phone   he’ll leave that to someone else     like ordering the Pfizer,2021-09-23 09:00:00
2642,en,False,1440957601408327680,"FDA authorizes Pfizer-BioNTech booster shot for people 65 and older, high-risk https://t.co/cbmtOXj077",[],[],[],['https://t.co/cbmtOXj077'],USA,FDA authorizes Pfizer BioNTech booster shot for people 65 and older  high risk https   t co cbmtOXj077,2021-09-23 09:00:00
2643,en,False,1440957532852211713,"U.S. approves Pfizer Coronavirus booster jab for elderly, at-risk groups - https://t.co/ePMlnSkhwP https://t.co/k57mqjKK7H",[],[],[],['https://t.co/ePMlnSkhwP'],USA,U S  approves Pfizer Coronavirus booster jab for elderly  at risk groups   https   t co ePMlnSkhwP https   t co k57mqjKK7H,2021-09-23 09:00:00
2644,en,False,1440957399259615234,"@ukinphilippines Excuse my naivety here, but if you have been vaccinated in the Philippines using the Pfizer vaccine, are you seen by UK immigration as Vaccinated or do you come in as unvaccinated?",[],[],['ukinphilippines'],[],USA, ukinphilippines Excuse my naivety here  but if you have been vaccinated in the Philippines using the Pfizer vaccine  are you seen by UK immigration as Vaccinated or do you come in as unvaccinated ,2021-09-23 09:00:00
2645,en,True,1440957395820294145,"A reminder that our COVID-19 vaccine clinic is on campus today 2-6pm, in the Food Hall, King Alfred Centre. The clinic will be offering both 1st and 2nd doses of the Pfizer Vaccine and you can book your session here 👉 https://t.co/9AQtjkSZWA (drop-in sessions available) https://t.co/pNsDt3CXJL",['👉'],[],[],['https://t.co/9AQtjkSZWA'],USA,A reminder that our COVID 19 vaccine clinic is on campus today 2 6pm  in the Food Hall  King Alfred Centre  The clinic will be offering both 1st and 2nd doses of the Pfizer Vaccine and you can book your session here  https   t co 9AQtjkSZWA  drop in sessions available  https   t co pNsDt3CXJL,2021-09-23 09:00:00
