,tweet_lang,poi_name,poi_id,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_en,tweet_date
511,en,POTUS,1349149096909668363,True,1409635720675827721,Congratulations to the people of Armenia and Prime Minister @NikolPashinyan on successful parliamentary elections. Our partnership with Armenia is one of shared values and cooperation on democratic reform and conflict resolution—we are committed to strengthening that partnership.,[],[],['NikolPashinyan'],[],USA,Congratulations to the people of Armenia and Prime Minister  NikolPashinyan on successful parliamentary elections  Our partnership with Armenia is one of shared values and cooperation on democratic reform and conflict resolution—we are committed to strengthening that partnership ,2021-06-28 22:00:00
512,en,POTUS,1349149096909668363,True,1409597045715898370,We’re building a workers economy.,[],[],[],[],USA,We’re building a workers economy ,2021-06-28 20:00:00
513,en,POTUS,1349149096909668363,True,1409575506673082370,"This afternoon, I’ll be meeting with Israeli President Reuven Rivlin at the White House. I’m looking forward to highlighting the strength of the bilateral relationship between our two nations and working together to achieve security and stability in the region.",[],[],[],[],USA,This afternoon  I’ll be meeting with Israeli President Reuven Rivlin at the White House  I’m looking forward to highlighting the strength of the bilateral relationship between our two nations and working together to achieve security and stability in the region ,2021-06-28 18:00:00
514,en,POTUS,1349149096909668363,True,1409527030409011205,"Every American deserves access to clean drinking water — and the Bipartisan Infrastructure Framework will make that a reality by eliminating the nation’s lead service lines and pipes.

It’s the largest investment in clean drinking water infrastructure in our history.",[],[],[],[],USA,Every American deserves access to clean drinking water — and the Bipartisan Infrastructure Framework will make that a reality by eliminating the nation’s lead service lines and pipes It’s the largest investment in clean drinking water infrastructure in our history ,2021-06-28 15:00:00
515,en,POTUS,1349149096909668363,True,1409505883554467849,"The Bipartisan Infrastructure Framework represents the largest federal investment in public transit in history — including the largest passenger rail investment since the creation of Amtrak.

I might be a little biased, but that’s a big deal.",[],[],[],[],USA,The Bipartisan Infrastructure Framework represents the largest federal investment in public transit in history — including the largest passenger rail investment since the creation of Amtrak I might be a little biased  but that’s a big deal ,2021-06-28 14:00:00
516,en,POTUS,1349149096909668363,True,1409204003595075597,"We can do this, folks. Get vaccinated – and let’s defeat this virus once and for all. https://t.co/MrbUAtib2H",[],[],[],[],USA,We can do this  folks  Get vaccinated – and let’s defeat this virus once and for all  https   t co MrbUAtib2H,2021-06-27 18:00:00
517,en,POTUS,1349149096909668363,True,1408940742983233536,"After four years of relentless attacks on LGBTQ+ rights, my Administration has taken historic actions to accelerate the march toward full LGBTQ+ equality. https://t.co/EQOJBQtCKv",[],[],[],[],USA,After four years of relentless attacks on LGBTQ  rights  my Administration has taken historic actions to accelerate the march toward full LGBTQ  equality  https   t co EQOJBQtCKv,2021-06-27 00:00:00
518,en,POTUS,1349149096909668363,True,1408920507899166725,"You heard her, folks. Head to https://t.co/P2RRSAlEgx. https://t.co/Ih6sHZjA9u",[],[],[],"['https://t.co/P2RRSAlEgx', 'https://t.co/Ih6sHZjA9u']",USA,You heard her  folks  Head to https   t co P2RRSAlEgx  https   t co Ih6sHZjA9u,2021-06-26 23:00:00
519,en,POTUS,1349149096909668363,True,1408907931400261642,"My heart is with the community of Surfside as they grieve their lost loved ones and wait anxiously as search and rescue efforts continue. 

Yesterday I spoke with Gov. DeSantis to let him know that we are ready to provide assistance as needed by state and local officials.",[],[],[],[],USA,My heart is with the community of Surfside as they grieve their lost loved ones and wait anxiously as search and rescue efforts continue  Yesterday I spoke with Gov  DeSantis to let him know that we are ready to provide assistance as needed by state and local officials ,2021-06-26 22:00:00
520,en,POTUS,1349149096909668363,True,1408888596153700364,"The bipartisan infrastructure framework would be good for the economy and good for our people.
 
We need both this and the American Families Plan — it was always my hope to reach a bipartisan deal on infrastructure while seeking to pass my Families Plan through reconciliation.",[],[],[],[],USA,The bipartisan infrastructure framework would be good for the economy and good for our people  We need both this and the American Families Plan — it was always my hope to reach a bipartisan deal on infrastructure while seeking to pass my Families Plan through reconciliation ,2021-06-26 21:00:00
