,tweet_lang,poi_name,poi_id,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_en,tweet_date,text_hi,text_es
238,hi,smritiirani,130104041,True,1413352147081601028,"राष्ट्र सेवा में समर्पित विश्व के सबसे बड़े छात्र संगठन @ABVPVoice के स्थापना दिवस पर संगठन से जुड़े सभी कार्यकर्ताओं एवं युवाओं को शुभकामनाएं।

छात्रों के जीवन में देश के प्रति कर्तव्य एवं समाजिक चेतना का भाव जागृत करने में परिषद की भूमिका अभूतपूर्व है।
#ABVPFoundationDay2021",[],['ABVPFoundationDay2021'],['ABVPVoice'],[],India,,2021-07-09 04:00:00,राष्ट्र सेवा में समर्पित विश्व के सबसे बड़े छात्र संगठन  ABVPVoice के स्थापना दिवस पर संगठन से जुड़े सभी कार्यकर्ताओं एवं युवाओं को शुभकामनाएं।छात्रों के जीवन में देश के प्रति कर्तव्य एवं समाजिक चेतना का भाव जागृत करने में परिषद की भूमिका अभूतपूर्व है। ABVPFoundationDay2021,
239,en,smritiirani,130104041,True,1413175927391981571,POSHAN Tracker launched in March 2021 has crossed 10 crore beneficiary registrations - A milestone in our efforts towards building SuPoshit India! Admin will be able to track &amp; monitor realtime indicators of these beneficiaries enabling timely interventions to fight malnutrition. https://t.co/lezVKIXogk,[],[],[],[],India,POSHAN Tracker launched in March 2021 has crossed 10 crore beneficiary registrations   A milestone in our efforts towards building SuPoshit India  Admin will be able to track  amp  monitor realtime indicators of these beneficiaries enabling timely interventions to fight malnutrition  https   t co lezVKIXogk,2021-07-08 17:00:00,,
240,en,smritiirani,130104041,True,1413171924541206528,"Grateful to PM @narendramodi Ji for approving phase II of India COVID 19 Emergency Response &amp; Health Systems Preparedness. ₹23,123 crore package will focus on strengthening support to hospitals &amp; enhancing e-healthcare services. https://t.co/7dWPcgsSgd",[],[],['narendramodi'],['https://t.co/7dWPcgsSgd'],India,Grateful to PM  narendramodi Ji for approving phase II of India COVID 19 Emergency Response  amp  Health Systems Preparedness  ₹23 123 crore package will focus on strengthening support to hospitals  amp  enhancing e healthcare services  https   t co 7dWPcgsSgd,2021-07-08 16:00:00,,
241,hi,smritiirani,130104041,True,1413171047977783300,"'कृषि बुनियादी ढांचा कोष' के अंतर्गत छोटे एवं सीमांत किसानों को लाभान्वित करने के लिए, वित्तपोषण सुविधा में संशोधनों को अपनी मंजूरी देने हेतु PM @narendramodi जी का धन्यवाद। 

इस योजना का लाभ लेने के लिए अब APMCs, FPOs एवं स्वयं सहायता समूह भी पात्र होंगे।
https://t.co/AD5hg4W34u",[],[],['narendramodi'],['https://t.co/AD5hg4W34u'],India,,2021-07-08 16:00:00, कृषि बुनियादी ढांचा कोष  के अंतर्गत छोटे एवं सीमांत किसानों को लाभान्वित करने के लिए  वित्तपोषण सुविधा में संशोधनों को अपनी मंजूरी देने हेतु PM  narendramodi जी का धन्यवाद। इस योजना का लाभ लेने के लिए अब APMCs  FPOs एवं स्वयं सहायता समूह भी पात्र होंगे।https   t co AD5hg4W34u,
242,hi,smritiirani,130104041,True,1413076702461403137,वस्त्र मंत्रालय को नई ऊँचाइयों तक ले जाने हेतु आपको @PiyushGoyal जी एवं @DarshanaJardosh जी को मेरी हार्दिक शुभकामनाएँ। https://t.co/ExCJbXojHZ,[],[],"['PiyushGoyal', 'DarshanaJardosh']",['https://t.co/ExCJbXojHZ'],India,,2021-07-08 10:00:00,वस्त्र मंत्रालय को नई ऊँचाइयों तक ले जाने हेतु आपको  PiyushGoyal जी एवं  DarshanaJardosh जी को मेरी हार्दिक शुभकामनाएँ। https   t co ExCJbXojHZ,
243,en,smritiirani,130104041,True,1412827087581315076,"It has been my greatest privilege to serve in the @TexMinIndia . With PLI , MITRA &amp; other schemes on the anvil , the industry is poised to take a giant leap forward.  Team Textiles came together to make India self reliant in PPE. Proud to have served with these officers. https://t.co/xz69uH6988",[],[],['TexMinIndia'],[],India,It has been my greatest privilege to serve in the  TexMinIndia   With PLI   MITRA  amp  other schemes on the anvil   the industry is poised to take a giant leap forward   Team Textiles came together to make India self reliant in PPE  Proud to have served with these officers  https   t co xz69uH6988,2021-07-07 18:00:00,,
244,en,smritiirani,130104041,True,1412781746643365888,"Youngest in the history of India having significant representation of women Ministers, PM @narendramodi Ji’s Union Council of Ministers reflects his commitment towards Women-led Development &amp; fulfilling aspirations of a New AatmaNirbhar Bharat. #Govt4Growth.",[],['Govt4Growth'],['narendramodi'],[],India,Youngest in the history of India having significant representation of women Ministers  PM  narendramodi Ji’s Union Council of Ministers reflects his commitment towards Women led Development  amp  fulfilling aspirations of a New AatmaNirbhar Bharat   Govt4Growth ,2021-07-07 15:00:00,,
245,en,smritiirani,130104041,True,1412781690351591427,Congratulations to all the newly inducted members in the Union Council of Ministers. The new CoM comprising of members representing every section of the society will give added momentum to inclusive development &amp; strengthen PM @narendramodi Ji’s resolve of #Govt4Growth.,[],['Govt4Growth'],['narendramodi'],[],India,Congratulations to all the newly inducted members in the Union Council of Ministers  The new CoM comprising of members representing every section of the society will give added momentum to inclusive development  amp  strengthen PM  narendramodi Ji’s resolve of  Govt4Growth ,2021-07-07 15:00:00,,
246,en,smritiirani,130104041,True,1412605910996852740,End of an era… Om Shanti 🙏 https://t.co/CrJJvtkMCP,['🙏'],[],[],[],India,End of an era… Om Shanti  https   t co CrJJvtkMCP,2021-07-07 03:00:00,,
247,en,smritiirani,130104041,True,1412592366205104133,Thread 👇 https://t.co/LLApNTm9Kn,['👇'],[],[],['https://t.co/LLApNTm9Kn'],India,Thread  https   t co LLApNTm9Kn,2021-07-07 02:00:00,,
