,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_en,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,text_hi,text_es
203,es,1441075315430748160,1366020745, AkaDomo Liar ,1441078929201246208,False,,2021-09-23T16:36:05.000Z,USA,@AkaDomo Liar.,[],[],['AkaDomo'],[],, AkaDomo Liar 
204,en,1441075247420096514,1543437272, rum4alan Unless you’re planning on traveling soon I think your 2 AZ are likely fine ,1441084448124981257,False, rum4alan Unless you’re planning on traveling soon I think your 2 AZ are likely fine ,2021-09-23T16:58:01.000Z,USA,@rum4alan Unless you’re planning on traveling soon I think your 2 AZ are likely fine.,[],[],['rum4alan'],[],,
205,en,1441075247420096514,1543437272, rum4alan Latest read on this is that regardless of what vax you took  fully vaccinated makes you fully vaccinated in the US  It does not have to be FDA approved to be recognized ,1441081964178522115,False, rum4alan Latest read on this is that regardless of what vax you took  fully vaccinated makes you fully vaccinated in the US  It does not have to be FDA approved to be recognized ,2021-09-23T16:48:08.000Z,USA,"@rum4alan Latest read on this is that regardless of what vax you took, fully vaccinated makes you fully vaccinated in the US. It does not have to be FDA approved to be recognized.",[],[],['rum4alan'],['https://t.co/G6Z1QqHDHp'],,
206,en,1441075247420096514,1543437272, wildrose76 Yeah  I ve heard of others doing this but I got 2 AZ  so now I m to get 2 of PZ  That ll be like taking Super Serum ,1441077223339950087,False, wildrose76 Yeah  I ve heard of others doing this but I got 2 AZ  so now I m to get 2 of PZ  That ll be like taking Super Serum ,2021-09-23T16:29:18.000Z,USA,"@wildrose76 Yeah, I've heard of others doing this but I got 2 AZ, so now I'm to get 2 of PZ. That'll be like taking Super Serum.",[],[],['wildrose76'],[],,
207,en,1441075247420096514,1543437272, rum4alan I’ve just come back from 2 weeks in US  I’m double vaxed with AZ  Wasn’t a problem,1441076739589947392,False, rum4alan I’ve just come back from 2 weeks in US  I’m double vaxed with AZ  Wasn’t a problem,2021-09-23T16:27:23.000Z,USA,@rum4alan I’ve just come back from 2 weeks in US. I’m double vaxed with AZ. Wasn’t a problem,[],[],['rum4alan'],[],,
208,en,1441075247420096514,1543437272, rum4alan I have an AZ PZ mix  The Americans sent us much of the AZ supply so I do eect them to recognize it eventually  That said I plan on getting my 3rd shot eventually ,1441076431925121024,False, rum4alan I have an AZ PZ mix  The Americans sent us much of the AZ supply so I do eect them to recognize it eventually  That said I plan on getting my 3rd shot eventually ,2021-09-23T16:26:09.000Z,USA,"@rum4alan I have an AZ-PZ mix. The Americans sent us much of the AZ supply so I do expect them to recognize it eventually. That said I plan on getting my 3rd shot eventually,",['xp'],[],['rum4alan'],['https://t.co/NanqFDaZda'],,
209,en,1441075198120321024,892532756873400320,  soruu Too many  the entire episode is pure quality,1441077793069182984,False,  soruu Too many  the entire episode is pure quality,2021-09-23T16:31:34.000Z,USA,"@_soruu Too many, the entire episode is pure quality",[],[],['_soruu'],[],,
210,en,1441075098623123462,1303739428393947137, fi floyd Yeah did look into that man  think they had 20 there end of last season and he had 5  I mean they are on 7 shots at half time but not looking great atm unfortunately,1441091313638674440,False, fi floyd Yeah did look into that man  think they had 20 there end of last season and he had 5  I mean they are on 7 shots at half time but not looking great atm unfortunately,2021-09-23T17:25:18.000Z,USA,"@fi_floyd Yeah did look into that man, think they had 20 there end of last season and he had 5. I mean they are on 7 shots at half time but not looking great atm unfortunately",[],[],['fi_floyd'],['https://t.co/nZdnmwyMVg'],,
211,en,1441075098623123462,1303739428393947137, fba bets Careful  Sampdoria don t concede that many shots at home  Only 8 and 11 shots conceded against inter and ac milan,1441086017604251649,False, fba bets Careful  Sampdoria don t concede that many shots at home  Only 8 and 11 shots conceded against inter and ac milan,2021-09-23T17:04:15.000Z,USA,@fba_bets Careful. Sampdoria don't concede that many shots at home. Only 8 and 11 shots conceded against inter and ac milan,[],[],['fba_bets'],[],,
212,en,1441075098623123462,1303739428393947137, pkbetting Yeah that’s far too short  always best to shop about if you can,1441080711612706816,False, pkbetting Yeah that’s far too short  always best to shop about if you can,2021-09-23T16:43:10.000Z,USA,"@pkbetting Yeah that’s far too short, always best to shop about if you can",[],[],['pkbetting'],[],,
213,en,1441075098623123462,1303739428393947137, fba bets You got some proper value with this pick as on Betfair  amp  Paddy Insigne 4  shots odds were just 1 53,1441079688437252102,False, fba bets You got some proper value with this pick as on Betfair  amp  Paddy Insigne 4  shots odds were just 1 53,2021-09-23T16:39:06.000Z,USA,@fba_bets You got some proper value with this pick as on Betfair &amp; Paddy Insigne 4+ shots odds were just 1.53,[],[],['fba_bets'],[],,
