,tweet_lang,poi_name,poi_id,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_en,tweet_date,text_hi
625,en,nsitharaman,58243368,True,1243899323588329472,Spoke to Hon. CM of Punjab @capt_amarinder on the difficulties banks face in keeping up their services in the state. Hon. CM explained the particular difficulties #Punjab is facing containing #CoronavirusPandemic. He assured that he shall facilitate the banks. @PIB_India,['xp'],"['Punjab', 'CoronavirusPandemic']","['capt_amarinder', 'PIB_India']",[],India,Spoke to Hon  CM of Punjab  capt amarinder on the difficulties banks face in keeping up their services in the state  Hon  CM elained the particular difficulties  Punjab is facing containing  CoronavirusPandemic  He assured that he shall facilitate the banks   PIB India,2020-03-28 14:00:00,
626,en,nsitharaman,58243368,True,1243883511615901697,"Had a detailed conversation with chiefs of Banks-public&amp; private. Encouraging to know that they are doing their best, even during the lockdown. They are certain that they’ll ensure customer service without disruption. Social distancing is being adhered to as well. @PIB_India",[],[],['PIB_India'],[],India,Had a detailed conversation with chiefs of Banks public amp  private  Encouraging to know that they are doing their best  even during the lockdown  They are certain that they’ll ensure customer service without disruption  Social distancing is being adhered to as well   PIB India,2020-03-28 13:00:00,
627,en,nsitharaman,58243368,True,1243755513537421313,"Secretary, Corporate Affairs has held discussions with @FollowCII @ficci_india, @ASSOCHAM4India and @phdchamber to hear and address their concerns. @FinMinIndia will continuously remain and respond to Industry’s inputs. 
#StayHomeIndia #IndiaFightsCorona",[],"['StayHomeIndia', 'IndiaFightsCorona']","['FollowCII', 'ficci_india', 'ASSOCHAM4India', 'phdchamber', 'FinMinIndia']",[],India,Secretary  Corporate Affairs has held discussions with  FollowCII  ficci india   ASSOCHAM4India and  phdchamber to hear and address their concerns   FinMinIndia will continuously remain and respond to Industry’s inputs   StayHomeIndia  IndiaFightsCorona,2020-03-28 04:00:00,
628,en,nsitharaman,58243368,True,1243737652655845376,"Appreciate the service Bank Mitra/Banking Correspondents are undertaking across the country. 
Will talk to states- request no restrictions in their movements. 
Will speak to all banks to facilitate cash flow. 
Let’s ensure timely access to all. @FinMinIndia @DebasishPanda87",[],[],"['FinMinIndia', 'DebasishPanda87']",[],India,Appreciate the service Bank Mitra Banking Correspondents are undertaking across the country  Will talk to states  request no restrictions in their movements  Will speak to all banks to facilitate cash flow  Let’s ensure timely access to all   FinMinIndia  DebasishPanda87,2020-03-28 03:00:00,
629,en,nsitharaman,58243368,True,1243409235368525826,Appreciate @RBI @DasShaktikanta’s reassuring words on financial stability. The 3 month moratorium on payments of term loan instalments (EMI) &amp; interest on working capital give much-desired relief. Slashed interest rate needs quick transmission. #IndiaFightsCoronavirus,[],['IndiaFightsCoronavirus'],"['RBI', 'DasShaktikanta']",[],India,Appreciate  RBI  DasShaktikanta’s reassuring words on financial stability  The 3 month moratorium on payments of term loan instalments  EMI   amp  interest on working capital give much desired relief  Slashed interest rate needs quick transmission   IndiaFightsCoronavirus,2020-03-27 05:00:00,
630,en,nsitharaman,58243368,True,1243155666568536064,Good to know. Keep motivated. Extend your best. @FinMinIndia https://t.co/iIDYwgGwUt,[],[],['FinMinIndia'],['https://t.co/iIDYwgGwUt'],India,Good to know  Keep motivated  Extend your best   FinMinIndia https   t co iIDYwgGwUt,2020-03-26 13:00:00,
631,en,nsitharaman,58243368,True,1243136666480467968,Appreciate the dedication and commitment. @FinMinIndia @PIB_India https://t.co/0TroHmG6Pk,[],[],"['FinMinIndia', 'PIB_India']",['https://t.co/0TroHmG6Pk'],India,Appreciate the dedication and commitment   FinMinIndia  PIB India https   t co 0TroHmG6Pk,2020-03-26 11:00:00,
632,en,nsitharaman,58243368,True,1243005093391167488,Appreciate the dedication. @FinMinIndia @cbic_india #IndiaFightsCOVID19 https://t.co/4FJ9wj7nJE,[],['IndiaFightsCOVID19'],"['FinMinIndia', 'cbic_india']",['https://t.co/4FJ9wj7nJE'],India,Appreciate the dedication   FinMinIndia  cbic india  IndiaFightsCOVID19 https   t co 4FJ9wj7nJE,2020-03-26 03:00:00,
633,en,nsitharaman,58243368,True,1242483824736387073,India in a 21 day lockdown to contain #COVID2019. @PMOIndia @narendramodi talks firm in the interest of each and every citizen. The Laxman Rekha can not be crossed. #StayHomeIndia. #Essentialservices shall be maintained. #EssentialWorkers shall be respected and honoured. https://t.co/BGbAfqQzQI,[],"['COVID2019', 'StayHomeIndia', 'Essentialservices', 'EssentialWorkers']","['PMOIndia', 'narendramodi']",[],India,India in a 21 day lockdown to contain  COVID2019   PMOIndia  narendramodi talks firm in the interest of each and every citizen  The Laxman Rekha can not be crossed   StayHomeIndia   Essentialservices shall be maintained   EssentialWorkers shall be respected and honoured  https   t co BGbAfqQzQI,2020-03-24 16:00:00,
634,en,nsitharaman,58243368,True,1242429441000607744,Today’s announcements on statutory and compliance matters in the context of #COVID19. #StayHomeIndia  https://t.co/OdJ0ir4u1K,[],"['COVID19', 'StayHomeIndia']",[],['https://t.co/OdJ0ir4u1K'],India,Today’s announcements on statutory and compliance matters in the context of  COVID19   StayHomeIndia  https   t co OdJ0ir4u1K,2020-03-24 13:00:00,
