,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_es,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls
52,es,1439237676021043200,96144763, SRE mx  MaritoAbdo Eso no fue lo mas importante que dijo…,1439260524395614217,False, SRE mx  MaritoAbdo Eso no fue lo mas importante que dijo…,2021-09-18T16:10:23.000Z,Mexico,@SRE_mx @MaritoAbdo Eso no fue lo mas importante que dijo…,[],[],"['SRE_mx', 'MaritoAbdo']",[]
53,es,1439237676021043200,96144763, SRE mx  MaritoAbdo Les faltó esta parte importante “Mi presencia en esta cumbre en ningún sentido ni circunstancia representa un reconocimiento al gobierno del señor Nicolás Maduro” ,1439244807042265090,False, SRE mx  MaritoAbdo Les faltó esta parte importante “Mi presencia en esta cumbre en ningún sentido ni circunstancia representa un reconocimiento al gobierno del señor Nicolás Maduro” ,2021-09-18T15:07:56.000Z,Mexico,"@SRE_mx @MaritoAbdo Les faltó esta parte importante 😉🤣🤣🤣
“Mi presencia en esta cumbre en ningún sentido ni circunstancia representa un reconocimiento al gobierno del señor Nicolás Maduro”,","['🤣', '😉']",[],"['SRE_mx', 'MaritoAbdo']",['https://t.co/MEymjfIPbg']
54,es,1439237676021043200,96144763, SRE mx  MaritoAbdo Pues por lo menos él con Venezuela no jaajajajajaja,1439238705311625216,False, SRE mx  MaritoAbdo Pues por lo menos él con Venezuela no jaajajajajaja,2021-09-18T14:43:41.000Z,Mexico,@SRE_mx @MaritoAbdo Pues por lo menos él con Venezuela no jaajajajajaja,[],[],"['SRE_mx', 'MaritoAbdo']",[]
55,es,1439237676021043200,96144763, SRE mx  MaritoAbdo Unidad y no divisionismo  No defender lo indefendible ,1439238498222055426,False, SRE mx  MaritoAbdo Unidad y no divisionismo  No defender lo indefendible ,2021-09-18T14:42:52.000Z,Mexico,@SRE_mx @MaritoAbdo Unidad y no divisionismo. No defender lo indefendible.,[],[],"['SRE_mx', 'MaritoAbdo']",[]
56,es,1439237676021043200,96144763, SRE mx  MaritoAbdo HAMBRE EN ESPAÑA Y EE UU  https   t co sarrbGB3wb a través de  YouTube,1439237866207334407,False, SRE mx  MaritoAbdo HAMBRE EN ESPAÑA Y EE UU  https   t co sarrbGB3wb a través de  YouTube,2021-09-18T14:40:21.000Z,Mexico,@SRE_mx @MaritoAbdo HAMBRE EN ESPAÑA Y EE.UU. https://t.co/sarrbGB3wb a través de @YouTube,[],[],"['SRE_mx', 'MaritoAbdo', 'YouTube']",['https://t.co/sarrbGB3wb']
57,es,1438516107103461380,96144763, SRE mx ORGULLO  MÉXICO  FUNDADOR  LIC  DELFINO  CORNEJO  TORRES MÁXIMO  LÍDER  Y REY DEL TURISMO  MEXICANO  CREADOR  MUNDIAL  DEL TURISMO  CON IDENTIDAD  SU APORTACIÓN  CULTURAL  A LA HUMANIDAD  https   t co YLpGXclzF2,1438545029950152722,False, SRE mx ORGULLO  MÉXICO  FUNDADOR  LIC  DELFINO  CORNEJO  TORRES MÁXIMO  LÍDER  Y REY DEL TURISMO  MEXICANO  CREADOR  MUNDIAL  DEL TURISMO  CON IDENTIDAD  SU APORTACIÓN  CULTURAL  A LA HUMANIDAD  https   t co YLpGXclzF2,2021-09-16T16:47:16.000Z,Mexico,"@SRE_mx ORGULLO  MÉXICO  FUNDADOR  LIC. DELFINO  CORNEJO  TORRES MÁXIMO  LÍDER  Y REY DEL TURISMO  MEXICANO, CREADOR  MUNDIAL  DEL TURISMO  CON IDENTIDAD  SU APORTACIÓN  CULTURAL  A LA HUMANIDAD. https://t.co/YLpGXclzF2",[],[],['SRE_mx'],['https://t.co/mOrnbdj5q7']
58,es,1438516107103461380,96144763, SRE mx ORGULLO  MÉXICO  FUNDADOR  LIC  DELFINO  CORNEJO  TORRES MÁXIMO  LÍDER  Y REY DEL TURISMO  MEXICANO  CREADOR  MUNDIAL  DEL TURISMO  CON IDENTIDAD  SU APORTACIÓN  CULTURAL  A LA HUMANIDAD  https   t co Pf0zSE1qD4,1438544884063883265,False, SRE mx ORGULLO  MÉXICO  FUNDADOR  LIC  DELFINO  CORNEJO  TORRES MÁXIMO  LÍDER  Y REY DEL TURISMO  MEXICANO  CREADOR  MUNDIAL  DEL TURISMO  CON IDENTIDAD  SU APORTACIÓN  CULTURAL  A LA HUMANIDAD  https   t co Pf0zSE1qD4,2021-09-16T16:46:41.000Z,Mexico,"@SRE_mx ORGULLO  MÉXICO  FUNDADOR  LIC. DELFINO  CORNEJO  TORRES MÁXIMO  LÍDER  Y REY DEL TURISMO  MEXICANO, CREADOR  MUNDIAL  DEL TURISMO  CON IDENTIDAD  SU APORTACIÓN  CULTURAL  A LA HUMANIDAD. https://t.co/Pf0zSE1qD4",[],[],['SRE_mx'],['https://t.co/lbWhnZvz8g']
59,es,1438516107103461380,96144763, SRE mx ORGULLO  MÉXICO  FUNDADOR  LIC  DELFINO  CORNEJO  TORRES MÁXIMO  LÍDER  Y REY DEL TURISMO  MEXICANO  CREADOR  MUNDIAL  DEL TURISMO  CON IDENTIDAD  SU APORTACIÓN  CULTURAL  A LA HUMANIDAD  https   t co NXBmw7MwN7,1438544882583281668,False, SRE mx ORGULLO  MÉXICO  FUNDADOR  LIC  DELFINO  CORNEJO  TORRES MÁXIMO  LÍDER  Y REY DEL TURISMO  MEXICANO  CREADOR  MUNDIAL  DEL TURISMO  CON IDENTIDAD  SU APORTACIÓN  CULTURAL  A LA HUMANIDAD  https   t co NXBmw7MwN7,2021-09-16T16:46:41.000Z,Mexico,"@SRE_mx ORGULLO  MÉXICO  FUNDADOR  LIC. DELFINO  CORNEJO  TORRES MÁXIMO  LÍDER  Y REY DEL TURISMO  MEXICANO, CREADOR  MUNDIAL  DEL TURISMO  CON IDENTIDAD  SU APORTACIÓN  CULTURAL  A LA HUMANIDAD. https://t.co/NXBmw7MwN7",[],[],['SRE_mx'],['https://t.co/VLNgmcSuHC']
60,es,1438516107103461380,96144763, ArturoMartnezR6  SRE mx Primero se quejan que no viaja a los reuniones de líderes y ahora lloran porque los trae    Eso ya es animadversión bipolar castrosa   ,1438527778203258881,False, ArturoMartnezR6  SRE mx Primero se quejan que no viaja a los reuniones de líderes y ahora lloran porque los trae    Eso ya es animadversión bipolar castrosa   ,2021-09-16T15:38:43.000Z,Mexico,@ArturoMartnezR6 @SRE_mx Primero se quejan que no viaja a los reuniones de líderes y ahora lloran porque los trae... Eso ya es animadversión bipolar castrosa!!!,[],[],"['ArturoMartnezR6', 'SRE_mx']",['https://t.co/jxziFs7FhU']
61,es,1438516107103461380,96144763, SRE mx Invitar a  DiazCanelB es una mancha imborrable en la memoria histórica de  Mexico lopezobrador   traidor  El pueblo demanda tu renuncia inmediata por el delito de traición a la patria  anteponiendo los intereses extranjeros sobre los nacionales  AMLOtraidorALaPatria  AMLO,1438525611778129921,False, SRE mx Invitar a  DiazCanelB es una mancha imborrable en la memoria histórica de  Mexico lopezobrador   traidor  El pueblo demanda tu renuncia inmediata por el delito de traición a la patria  anteponiendo los intereses extranjeros sobre los nacionales  AMLOtraidorALaPatria  AMLO,2021-09-16T15:30:07.000Z,Mexico,"@SRE_mx Invitar a @DiazCanelB es una mancha imborrable en la memoria histórica de #Mexico
@lopezobrador_, traidor!!
El pueblo demanda tu renuncia inmediata por el delito de traición a la patria, anteponiendo los intereses extranjeros sobre los nacionales!
#AMLOtraidorALaPatria 
#AMLO",[],['Mexico'],"['SRE_mx', 'DiazCanelB', 'lopezobrador_']",['https://t.co/GqKZ78K1Tk']
62,es,1438516107103461380,96144763, SRE mx  iktanKin Y la austeridad REPUBLICANA   no aplicaría en este caso  Para que desplazar tantos elementos del ejército y generar gastos  cuando México es un país pacifista  para que traer a gente que tiene oprimidos a sus pueblos    ,1438522609528836096,False, SRE mx  iktanKin Y la austeridad REPUBLICANA   no aplicaría en este caso  Para que desplazar tantos elementos del ejército y generar gastos  cuando México es un país pacifista  para que traer a gente que tiene oprimidos a sus pueblos    ,2021-09-16T15:18:11.000Z,Mexico,"@SRE_mx @iktanKin Y la austeridad REPUBLICANA,  no aplicaría en este caso? Para que desplazar tantos elementos del ejército y generar gastos, cuando México es un país pacifista, para que traer a gente que tiene oprimidos a sus pueblos????",[],[],"['SRE_mx', 'iktanKin']",['https://t.co/nHqymvGLew']
63,es,1438516107103461380,96144763, SRE mx No gracias … ,1438517185559752705,False, SRE mx No gracias … ,2021-09-16T14:56:38.000Z,Mexico,@SRE_mx No gracias ….,[],[],['SRE_mx'],[]
64,es,1416113185040572422,96144763, LuisRev92913066  SRE mx Tiene usted razón amigo  sin embargo el Tartufo Amlomitomano  y sus congregación de presidentes genocidas  autoritarios  engaña pueblos  represores  que han cortado la libertad de sus pueblos  vienen a presumir lo impresumible  muchos mexicanos no los queremos en México ,1439227451578667011,False, LuisRev92913066  SRE mx Tiene usted razón amigo  sin embargo el Tartufo Amlomitomano  y sus congregación de presidentes genocidas  autoritarios  engaña pueblos  represores  que han cortado la libertad de sus pueblos  vienen a presumir lo impresumible  muchos mexicanos no los queremos en México ,2021-09-18T13:58:58.000Z,Mexico,"@LuisRev92913066 @SRE_mx Tiene usted razón amigo, sin embargo el Tartufo Amlomitomano, y sus congregación de presidentes genocidas, autoritarios, engaña pueblos, represores, que han cortado la libertad de sus pueblos, vienen a presumir lo impresumible, muchos mexicanos no los queremos en México.",[],[],"['LuisRev92913066', 'SRE_mx']",['https://t.co/drxb5k1NJ9']
