,tweet_lang,poi_name,poi_id,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_es,tweet_date
48,es,tatclouthier,33937794,True,1418031918197653508,Bienvenido #Singapur a la @A_delPacifico nuevas oportunidades para fortalecer lazos comerciales e inversiones con una de las regiones más dinámicas e innovadoras del mundo. https://t.co/Lpqj9K3pkv,[],['Singapur'],['A_delPacifico'],[],Mexico,Bienvenido  Singapur a la  A delPacifico nuevas oportunidades para fortalecer lazos comerciales e inversiones con una de las regiones más dinámicas e innovadoras del mundo  https   t co Lpqj9K3pkv,2021-07-22 02:00:00
49,es,tatclouthier,33937794,True,1417863286842961925,"Iniciamos en DC una reunión con @SecRaimondo de @CommerceGov con quien comentamos temas de tomate, estacionalidad, azúcar, y cadenas de suministro, así como el relanzamiento del DEAN. https://t.co/jJujwVancW",[],[],"['SecRaimondo', 'CommerceGov']",[],Mexico,Iniciamos en DC una reunión con  SecRaimondo de  CommerceGov con quien comentamos temas de tomate  estacionalidad  azúcar  y cadenas de suministro  así como el relanzamiento del DEAN  https   t co jJujwVancW,2021-07-21 15:00:00
50,es,tatclouthier,33937794,True,1417651045568745473,"Gracias Emb. @emoctezumab por la bienvenida en Washington, D.C. a nuestra primera gira de trabajo presencial por la capital estadounidense en la que sostendremos encuentros con autoridades, organizaciones y empresarios norteamericanos en el marco de la implementación del #TMEC https://t.co/OGokFZSNUv",[],['TMEC'],['emoctezumab'],[],Mexico,Gracias Emb   emoctezumab por la bienvenida en Washington  D C  a nuestra primera gira de trabajo presencial por la capital estadounidense en la que sostendremos encuentros con autoridades  organizaciones y empresarios norteamericanos en el marco de la implementación del  TMEC https   t co OGokFZSNUv,2021-07-21 01:00:00
51,es,tatclouthier,33937794,True,1417278194496032768,"Presentamos el Informe Nacional Voluntario 2021 sobre la #Agenda2030 en 🇲🇽

Repasamos diversas acciones ya realizadas por el @GobiernoMX a favor de los distintos Objetivos de #DesarrolloSostenible, también reconocimos retos y oportunidades sobre los que seguiremos trabajando. https://t.co/QcdwuzLWBO",['🇲🇽'],"['Agenda2030', 'DesarrolloSostenible']",['GobiernoMX'],[],Mexico,Presentamos el Informe Nacional Voluntario 2021 sobre la  Agenda2030 en Repasamos diversas acciones ya realizadas por el  GobiernoMX a favor de los distintos Objetivos de  DesarrolloSostenible  también reconocimos retos y oportunidades sobre los que seguiremos trabajando  https   t co QcdwuzLWBO,2021-07-20 00:00:00
52,es,tatclouthier,33937794,True,1416003706978504708,"Desde temprano en el Retiro Informal de Líderes Económicos de @APEC sobre COVID-19, en representación del señor Presidente @lopezobrador_. https://t.co/FwXd7KwER0",[],[],"['APEC', 'lopezobrador_']",[],Mexico,Desde temprano en el Retiro Informal de Líderes Económicos de  APEC sobre COVID 19  en representación del señor Presidente  lopezobrador   https   t co FwXd7KwER0,2021-07-16 12:00:00
53,es,tatclouthier,33937794,True,1415917180147970050,Felicidades @M_OlgaSCordero . Por muchos años saludables más. https://t.co/sSfdifPPwk,[],[],['M_OlgaSCordero'],[],Mexico,Felicidades  M OlgaSCordero   Por muchos años saludables más  https   t co sSfdifPPwk,2021-07-16 06:00:00
54,es,tatclouthier,33937794,True,1415874326864306184,"Muy content@s en @SE_mx con el lanzamiento de la plataforma “Habilidades Digitales para las Mexicanas del Siglo XXI”, en conjunto con @CiscoNetAcad y @JovConFuturo. El programa va desde alfabetización digital hasta capacidades avanzadas. Inscríbete aquí 👇🏼
https://t.co/m7RrMUkEeM https://t.co/YWChU4SiFl",['👇🏼'],[],"['SE_mx', 'CiscoNetAcad', 'JovConFuturo']",['https://t.co/m7RrMUkEeM'],Mexico,Muy content s en  SE mx con el lanzamiento de la plataforma “Habilidades Digitales para las Mexicanas del Siglo XXI”  en conjunto con  CiscoNetAcad y  JovConFuturo  El programa va desde alfabetización digital hasta capacidades avanzadas  Inscríbete aquí https   t co m7RrMUkEeM https   t co YWChU4SiFl,2021-07-16 03:00:00
55,es,tatclouthier,33937794,True,1415666614448525317,Comenzamos el día participando en la reunión Ministerial sobre negociaciones de las subvenciones a la pesca en la @OMC_es.  Reiteramos nuestro compromiso de concluir estas negociaciones a la mayor brevedad y en cumplimiento al Objetivo de Desarrollo Sostenible 14.6. https://t.co/2dMtww1kLk,[],[],['OMC_es'],[],Mexico,Comenzamos el día participando en la reunión Ministerial sobre negociaciones de las subvenciones a la pesca en la  OMC es   Reiteramos nuestro compromiso de concluir estas negociaciones a la mayor brevedad y en cumplimiento al Objetivo de Desarrollo Sostenible 14 6  https   t co 2dMtww1kLk,2021-07-15 14:00:00
56,es,tatclouthier,33937794,True,1415533912500187137,Despedimos y recibimos a responsable del @el_BID en MX. Gracias x la cooperación y trabajo futuro. https://t.co/dOlQdxTLE5,[],[],['el_BID'],[],Mexico,Despedimos y recibimos a responsable del  el BID en MX  Gracias x la cooperación y trabajo futuro  https   t co dOlQdxTLE5,2021-07-15 05:00:00
57,es,tatclouthier,33937794,True,1415363495575556099,"Hoy nos reunimos los líderes sindicales y de recursos humanos y administrativos de la @SE_mx para revisar la estrategia de los regresos del personal, para fortalecer la reactivación económica. https://t.co/04Uz0eJrJ9",[],[],['SE_mx'],[],Mexico,Hoy nos reunimos los líderes sindicales y de recursos humanos y administrativos de la  SE mx para revisar la estrategia de los regresos del personal  para fortalecer la reactivación económica  https   t co 04Uz0eJrJ9,2021-07-14 18:00:00
