,tweet_lang,poi_name,poi_id,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_es,tweet_date
679,es,lopezobrador_,82119937,True,1290037839598505984,"Seguiremos combatiendo la epidemia del #COVID19 para salvar vidas sin dejar de enfrentar la peste de la corrupción y la impunidad que tanto daño ha causado al pueblo de México.

https://t.co/GKGUvvcW9U https://t.co/lIRoxuyVNr",[],['COVID19'],[],['https://t.co/GKGUvvcW9U'],Mexico,Seguiremos combatiendo la epidemia del  COVID19 para salvar vidas sin dejar de enfrentar la peste de la corrupción y la impunidad que tanto daño ha causado al pueblo de México https   t co GKGUvvcW9U https   t co lIRoxuyVNr,2020-08-02 22:00:00
680,es,lopezobrador_,82119937,True,1289736667788505088,"Informe sobre el estado actual de la economía familiar, popular y nacional.

https://t.co/ISdjCMDdYJ https://t.co/nG8GydQ2zV",[],[],[],['https://t.co/ISdjCMDdYJ'],Mexico,Informe sobre el estado actual de la economía familiar  popular y nacional https   t co ISdjCMDdYJ https   t co nG8GydQ2zV,2020-08-02 02:00:00
681,es,lopezobrador_,82119937,True,1289172238395031557,Firma del Acuerdo para la compra eficiente de medicamentos y vacunas junto a la UNOPS y la OMS. https://t.co/D8QwwAER5y,[],[],[],['https://t.co/D8QwwAER5y'],Mexico,Firma del Acuerdo para la compra eficiente de medicamentos y vacunas junto a la UNOPS y la OMS  https   t co D8QwwAER5y,2020-07-31 12:00:00
682,es,lopezobrador_,82119937,True,1288809755863969800,Nada humano nos es ajeno. Conferencia matutina. https://t.co/jGhxFQ7mkY,[],[],[],['https://t.co/jGhxFQ7mkY'],Mexico,Nada humano nos es ajeno  Conferencia matutina  https   t co jGhxFQ7mkY,2020-07-30 12:00:00
683,es,lopezobrador_,82119937,True,1288445520835272707,El bienestar es un asunto de interés general; tenemos que actuar juntos. Conferencia matutina. https://t.co/iXRjvimAvQ,[],[],[],['https://t.co/iXRjvimAvQ'],Mexico,El bienestar es un asunto de interés general  tenemos que actuar juntos  Conferencia matutina  https   t co iXRjvimAvQ,2020-07-29 12:00:00
684,es,lopezobrador_,82119937,True,1288280944152121344,"Intercambié opiniones sobre la crisis económica precipitada y el #COVID19 con un grupo de empresarios encabezado por Antonio del Valle. Hay voluntad para sumar esfuerzos, recursos y salir adelante. https://t.co/l62LPoyxkk",[],['COVID19'],[],[],Mexico,Intercambié opiniones sobre la crisis económica precipitada y el  COVID19 con un grupo de empresarios encabezado por Antonio del Valle  Hay voluntad para sumar esfuerzos  recursos y salir adelante  https   t co l62LPoyxkk,2020-07-29 01:00:00
685,es,lopezobrador_,82119937,True,1288087569922551811,Seguimos atentos a la necesidad de todo aquel que requiera hospitalización pueda ser atendido. Conferencia matutina. https://t.co/HqO5cHCXvj,[],[],[],['https://t.co/HqO5cHCXvj'],Mexico,Seguimos atentos a la necesidad de todo aquel que requiera hospitalización pueda ser atendido  Conferencia matutina  https   t co HqO5cHCXvj,2020-07-28 12:00:00
686,es,lopezobrador_,82119937,True,1287720082697629697,Conferencia matutina desde el Aeropuerto Internacional de la Ciudad de México. https://t.co/OwtgCxjynD,[],[],[],['https://t.co/OwtgCxjynD'],Mexico,Conferencia matutina desde el Aeropuerto Internacional de la Ciudad de México  https   t co OwtgCxjynD,2020-07-27 12:00:00
687,es,lopezobrador_,82119937,True,1286632808379645952,"Conferencia de prensa matutina, desde Oaxaca. https://t.co/f3m2VUQXUX",[],[],[],['https://t.co/f3m2VUQXUX'],Mexico,Conferencia de prensa matutina  desde Oaxaca  https   t co f3m2VUQXUX,2020-07-24 12:00:00
688,es,lopezobrador_,82119937,True,1286405120742260736,"Inauguración de la extensión de la terminal 2 del Aeropuerto Internacional de la Ciudad de México

https://t.co/8LZHsESCv0 https://t.co/QsniCDbOTt",[],[],[],['https://t.co/8LZHsESCv0'],Mexico,Inauguración de la extensión de la terminal 2 del Aeropuerto Internacional de la Ciudad de Méxicohttps   t co 8LZHsESCv0 https   t co QsniCDbOTt,2020-07-23 21:00:00
