,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_es,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,text_en
10,es,1441103882122186756,250415373, ffontm   Gabrielagm  Graciaaaas  Yo les doy sus saludos   ¡Un abrazo ,1441106731770150916,False, ffontm   Gabrielagm  Graciaaaas  Yo les doy sus saludos   ¡Un abrazo ,2021-09-23T18:26:33.000Z,Mexico,@ffontm @_Gabrielagm_ Graciaaaas. Yo les doy sus saludos. 😊 ¡Un abrazo!,['😊'],[],"['ffontm', '_Gabrielagm_']",[],
11,es,1441103882122186756,250415373, NathaCalimero   Gabrielagm  Me alegra  saludame a tu family please ,1441106441721376774,False, NathaCalimero   Gabrielagm  Me alegra  saludame a tu family please ,2021-09-23T18:25:24.000Z,Mexico,"@NathaCalimero @_Gabrielagm_ Me alegra, saludame a tu family please.",[],[],"['NathaCalimero', '_Gabrielagm_']",[],
12,es,1441102563542241280,924699708790108165, MirandaGob Cuándo empiezan a aplicar la segunda dosis de sputnik en Guatire,1441103658356117504,False, MirandaGob Cuándo empiezan a aplicar la segunda dosis de sputnik en Guatire,2021-09-23T18:14:21.000Z,Mexico,@MirandaGob Cuándo empiezan a aplicar la segunda dosis de sputnik en Guatire,[],[],['MirandaGob'],[],
13,es,1441101445659443207,144316435, RRuete  alferdez  Kicillofok  marisafassi Qué remera ,1441105080724250625,False, RRuete  alferdez  Kicillofok  marisafassi Qué remera ,2021-09-23T18:20:00.000Z,Mexico,@RRuete @alferdez @Kicillofok @marisafassi Qué remera!,[],[],"['RRuete', 'alferdez', 'Kicillofok', 'marisafassi']",[],
14,es,1441100555103866885,1250516424654757888, alicfka Perdóname pero el que abrió Todo de golpe cuando había 30 mil casos fue la Caba se cagaron en todos a pensar del DNU presidencial  fueron a la corte suprema  ahora que los casos bajaron no fue milagro fue la vacunación si querés nadie te obliga te podés sacar el barbijo al aire l,1441109213107744768,False, alicfka Perdóname pero el que abrió Todo de golpe cuando había 30 mil casos fue la Caba se cagaron en todos a pensar del DNU presidencial  fueron a la corte suprema  ahora que los casos bajaron no fue milagro fue la vacunación si querés nadie te obliga te podés sacar el barbijo al aire l,2021-09-23T18:36:25.000Z,Mexico,"@alicfka Perdóname pero el que abrió Todo de golpe cuando había 30 mil casos fue la Caba,se cagaron en todos,a pensar del DNU presidencial, fueron a la corte suprema, ahora que los casos bajaron no fue milagro fue la vacunación,si querés nadie te obliga te podés sacar el barbijo al aire l",[],[],['alicfka'],['https://t.co/6fge4kdLFb'],
15,es,1441100555103866885,1250516424654757888, alicfka Con ese criterio  vos propones barbijo   aislamiento  no presencialidad  etc de por vida  por qué algún día esto tiene que terminar y ahora se avisora un fin y muchos parecen resistirse a ese fin con todo respeto  siempre te leo y admiro tus publicaciones ,1441103986094788609,False, alicfka Con ese criterio  vos propones barbijo   aislamiento  no presencialidad  etc de por vida  por qué algún día esto tiene que terminar y ahora se avisora un fin y muchos parecen resistirse a ese fin con todo respeto  siempre te leo y admiro tus publicaciones ,2021-09-23T18:15:39.000Z,Mexico,"@alicfka Con ese criterio ,vos propones barbijo , aislamiento ,no presencialidad ,etc de por vida ,por qué algún día esto tiene que terminar,y ahora se avisora un fin y muchos parecen resistirse a ese fin,con todo respeto ,siempre te leo y admiro tus publicaciones 🤗",['🤗'],[],['alicfka'],['https://t.co/hov1peICOK'],
16,es,1441100555103866885,1250516424654757888, alicfka El cambio incluso en este momento esta cambiando   el barbijo no solo evito mayores contagios  sino q además redujo drásticamente otras enfermedades contagiosas   hay nuevos hábitos q llegaron para quedarse,1441103424896921600,False, alicfka El cambio incluso en este momento esta cambiando   el barbijo no solo evito mayores contagios  sino q además redujo drásticamente otras enfermedades contagiosas   hay nuevos hábitos q llegaron para quedarse,2021-09-23T18:13:25.000Z,Mexico,"@alicfka El cambio incluso en este momento esta cambiando , el barbijo no solo evito mayores contagios  sino q además redujo drásticamente otras enfermedades contagiosas , hay nuevos hábitos q llegaron para quedarse",[],[],['alicfka'],['https://t.co/aAroSJ2g4Z'],
17,es,1441100505581641728,131377324, quierotv gdl  GabrielaInforma  LiborioRG Ya viéndolos cómo siempre  LiborioRG  GabrielaInforma eres guapísima tu vestido rojo con tus zapatillas te lucen muy bien y hermoso y hermoso tu look de tu pelo q cada día crece más  GabrielaInforma hacen buen duo  LiborioRG  GabrielaInforma,1441101402768437252,False, quierotv gdl  GabrielaInforma  LiborioRG Ya viéndolos cómo siempre  LiborioRG  GabrielaInforma eres guapísima tu vestido rojo con tus zapatillas te lucen muy bien y hermoso y hermoso tu look de tu pelo q cada día crece más  GabrielaInforma hacen buen duo  LiborioRG  GabrielaInforma,2021-09-23T18:05:23.000Z,Mexico,@quierotv_gdl @GabrielaInforma @LiborioRG Ya viéndolos cómo siempre @LiborioRG @GabrielaInforma eres guapísima tu vestido rojo con tus zapatillas te lucen muy bien y hermoso y hermoso tu look de tu pelo q cada día crece más @GabrielaInforma hacen buen duo @LiborioRG @GabrielaInforma,[],[],"['quierotv_gdl', 'GabrielaInforma', 'LiborioRG', 'LiborioRG', 'GabrielaInforma']",['https://t.co/AmKZStxryy'],
18,es,1441099158090182658,1402368013404364804, Loli kawaiiuwu Ya te mande,1441106070596767750,False, Loli kawaiiuwu Ya te mande,2021-09-23T18:23:56.000Z,Mexico,@Loli_kawaiiuwu Ya te mande,[],[],['Loli_kawaiiuwu'],[],
19,es,1441099158090182658,1402368013404364804, Soy Paquito 2 Ya andaba teniendo sueños lúcidos por la vacuna xd pero todo fine uwu,1441103933309521921,False, Soy Paquito 2 Ya andaba teniendo sueños lúcidos por la vacuna xd pero todo fine uwu,2021-09-23T18:15:26.000Z,Mexico,@Soy_Paquito_2 Ya andaba teniendo sueños lúcidos por la vacuna xd pero todo fine uwu,[],[],['Soy_Paquito_2'],[],
20,es,1441099158090182658,1402368013404364804, Loli kawaiiuwu Excelente  Señorita  ,1441102878148415500,False, Loli kawaiiuwu Excelente  Señorita  ,2021-09-23T18:11:15.000Z,Mexico,"@Loli_kawaiiuwu Excelente, Señorita 💐 ☑","['💐', '☑']",[],['Loli_kawaiiuwu'],[],
21,es,1441099158090182658,1402368013404364804, Loli kawaiiuwu Cuál es tu número ,1441101035112525824,False, Loli kawaiiuwu Cuál es tu número ,2021-09-23T18:03:55.000Z,Mexico,@Loli_kawaiiuwu Cuál es tu número?,[],[],['Loli_kawaiiuwu'],[],
