,tweet_lang,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_es,tweet_date
1410,es,False,1441027457771925504,"@carmensuisse Madre mía...es estar vacunado no te lo libra de contagiarte , chico disparate has puesto",[],[],['carmensuisse'],[],Mexico, carmensuisse Madre mía   es estar vacunado no te lo libra de contagiarte   chico disparate has puesto,2021-09-23 13:00:00
1411,es,False,1441027342281883648,Vacunado 3ra dosis y todo ✨💅🏻 https://t.co/wvsoIIsDrl,"['✨', '💅🏻']",[],[],[],Mexico,Vacunado 3ra dosis y todo  https   t co wvsoIIsDrl,2021-09-23 13:00:00
1412,es,False,1441027330055487489,"Buenos días, ¿¿cómo están todos en este hermoso día?? Yo sp bn con miedo de que me digan que tengo que asistir a una clase de forma presencial porque yo ni vacunado estoy y las defensas las debo tener como en -0 pero jaja, todo joya.",[],[],[],[],Mexico,Buenos días  ¿¿cómo están todos en este hermoso día   Yo sp bn con miedo de que me digan que tengo que asistir a una clase de forma presencial porque yo ni vacunado estoy y las defensas las debo tener como en  0 pero jaja  todo joya ,2021-09-23 13:00:00
1413,es,False,1441027311021793281,Todo mi círculo rojo completamente vacunado con dos dosis.,[],[],[],[],Mexico,Todo mi círculo rojo completamente vacunado con dos dosis ,2021-09-23 13:00:00
1414,es,False,1441027080456744963,@billydors La gente lo que tendría que haber hecho es una cosa tan sencilla como DIVIDIR para darse cuenta de que la tasa de mortalidad aún sin estar vacunado era ridícula. Tanta culpa tienen los que alarman como los que se dejan alarmar. Coño ya.,[],[],['billydors'],[],Mexico, billydors La gente lo que tendría que haber hecho es una cosa tan sencilla como DIVIDIR para darse cuenta de que la tasa de mortalidad aún sin estar vacunado era ridícula  Tanta culpa tienen los que alarman como los que se dejan alarmar  Coño ya ,2021-09-23 13:00:00
1415,es,False,1441027066271571968,"Autoridad Única de Salud en Miranda, Dra. Marelia Guillén, afirmó que próximamente se completará el esquema de vacunación contra el Covid-19 al sector educativo. #MirandoAlFuturo #23Sep https://t.co/FVqXuy3Fnb https://t.co/oCBH7oj09p",[],"['MirandoAlFuturo', '23Sep']",[],['https://t.co/FVqXuy3Fnb'],Mexico,Autoridad Única de Salud en Miranda  Dra  Marelia Guillén  afirmó que próximamente se completará el esquema de vacunación contra el Covid 19 al sector educativo   MirandoAlFuturo  23Sep https   t co FVqXuy3Fnb https   t co oCBH7oj09p,2021-09-23 13:00:00
1416,es,False,1441026978975518721,@gatotuber1982 @PATODIAZGUEVARA Pero … estás vacunado 🤦🏽‍♂️,['🤦🏽\u200d♂️'],[],"['gatotuber1982', 'PATODIAZGUEVARA']",[],Mexico, gatotuber1982  PATODIAZGUEVARA Pero … estás vacunado ,2021-09-23 13:00:00
1417,es,False,1441026858993213442,ya andamos completamente vacunado del covid😼,['😼'],[],[],[],Mexico,ya andamos completamente vacunado del covid,2021-09-23 13:00:00
1418,es,False,1441026842463326212,"@ATarrojos Yo me he vacunado.
Fundamentalmente, porque...
ME SALE DE LOS ""GÜEVOS"".
¿Algún problema?.
Vive....y deja vivir.
De nada.",[],[],['ATarrojos'],[],Mexico, ATarrojos Yo me he vacunado Fundamentalmente  porque   ME SALE DE LOS  GÜEVOS  ¿Algún problema  Vive    y deja vivir De nada ,2021-09-23 13:00:00
1419,es,False,1441026800218480640,@porrison_jim @maariugenia @Bchiesin @osvaldobazan No se donde estara el anuncio “oficial”. Pero ya se dijo que a partir de ese anuncio en noviembre no hay mas turismo de vacunas. Deberas llegar vacunado.,[],[],"['porrison_jim', 'maariugenia', 'Bchiesin', 'osvaldobazan']",[],Mexico, porrison jim  maariugenia  Bchiesin  osvaldobazan No se donde estara el anuncio “oficial”  Pero ya se dijo que a partir de ese anuncio en noviembre no hay mas turismo de vacunas  Deberas llegar vacunado ,2021-09-23 13:00:00
1420,es,False,1441026779884384265,Resulta que no puedo viajar a Europa o EEUU por estar vacunado con Spunik 😮‍💨,['😮\u200d💨'],[],[],[],Mexico,Resulta que no puedo viajar a Europa o EEUU por estar vacunado con Spunik ,2021-09-23 13:00:00
1421,es,False,1441026756106936325,"@EnriqueDeRosa Es el mismo que dijo que íbamos a juntar los cadáveres en las calles, del mismo gobierno que compró 100 millones de bolsas para cadáveres (claramente, a su criterio, nos íbamos a morir dos veces). El mismo que diría ""más vale muerto vacunado, que sin vacunar"". https://t.co/GtPW9Dqc5Q",[],[],['EnriqueDeRosa'],[],Mexico, EnriqueDeRosa Es el mismo que dijo que íbamos a juntar los cadáveres en las calles  del mismo gobierno que compró 100 millones de bolsas para cadáveres  claramente  a su criterio  nos íbamos a morir dos veces   El mismo que diría  más vale muerto vacunado  que sin vacunar   https   t co GtPW9Dqc5Q,2021-09-23 13:00:00
1422,es,False,1441026742903353346,@carmensuisse @ProudandSweet Yo como no vacunado también lo exijo,[],[],"['carmensuisse', 'ProudandSweet']",[],Mexico, carmensuisse  ProudandSweet Yo como no vacunado también lo exijo,2021-09-23 13:00:00
1423,es,False,1441026668886478850,@NitoCortizo @cepal_onu Pd: no esta vacunado NINGUNO d brazil y creo q uno d su grupo q viajo esta en el hospital.? @MINSAPma eso no afectaria indirectamente al presidente por eso de la trazabilidad y el contacto..?,[],[],"['NitoCortizo', 'cepal_onu', 'MINSAPma']",[],Mexico, NitoCortizo  cepal onu Pd  no esta vacunado NINGUNO d brazil y creo q uno d su grupo q viajo esta en el hospital    MINSAPma eso no afectaria indirectamente al presidente por eso de la trazabilidad y el contacto   ,2021-09-23 13:00:00
